Gene name	Chromosome/scaffold name	Karyotype band	Gene start (bp)	Gene end (bp)
SUDS3P1	5	q35.3	177971316	177972281
FO393413.1	6	p12.3	49273600	49273794
AL109941.1	6	q14.3	84966397	84966625
HIST1H2BL	6	p22.1	27807444	27807931
ATP6V0CP4	1	p34.2	42952202	42952641
AC092032.1	7	p22.1	5009164	5009328
LINC01226	1	p35.2	31506226	31583306
HMGN2P30	7	p14.1	42113365	42113620
AC006978.1	7	p14.3	30371508	30372741
MAP3K13	3	q27.2	185282941	185489097
AP002530.1	6	q16.3	102078872	102079555
AL357153.1	14	q24.2	70608798	70641298
AMN	14	q32.32	102922656	102933596
SUN1	7	p22.3	816615	896435
GLI3	7	p14.1	41960950	42237870
AC110285.4	17	q25.3	81461013	81461937
ANKRD36	2	q11.2	97113496	97250199
IL20	1	q32.1	206865354	206869223
CDC42BPB	14	q32.32	102932379	103057462
AC095057.1	4	p14	40142198	40142365
MAGOHB	12	p13.2	10604190	10613623
SRD5A3	4	q12	55346109	55373096
FCF1P8	4	q12	55351812	55352408
WDR3	1	p12	117929720	117966542
RPAP2P1	10	q23.2	86854696	86856236
B4GALT4-AS1	3	q13.32	119226486	119290666
KRT18P25	4	p14	40020240	40021517
TBX18	6	q14.3	84687351	84764519
CTRB1	16	q23.1	75219000	75226338
MTATP6P31	6	q25.2	153666627	153667318
AC009078.3	16	q23.1	75245994	75250077
AL117351.2	1	p22.1	93926032	93926188
TUBB4BP3	X	q24	118128748	118129018
AC104667.2	2	q37.3	237591020	237595981
AL157888.1	10	q26.13	125162379	125162971
COX7A2P2	4	q22.3	96902801	96903050
MRPS18B	CHR_HSCHR6_MHC_DBB_CTG1		30607946	30616632
AP005271.1	18	p11.22	10125340	10144406
AL022238.1	22	q13.1	40433136	40433641
RPL4P6	22	q13.1	40586700	40588003
RPL21P126	18	q21.2	55635833	55636310
RACK1	5	q35.3	181236909	181248096
BX119904.4	X	q23	116688870	116690185
MTCO3P43	2	q14.2	120211727	120212862
PM20D1	1	q32.1	205828022	205850132
MTND5P28	2	q14.2	120215181	120217279
AP000552.1	22	q11.21	21300990	21325042
MTND3P10	2	q14.2	120212935	120213275
MTND4LP14	2	q14.2	120213344	120213631
ATP2C1	3	q22.1	130850595	131016712
PCDHGA11	5	q31.3	141421047	141512979
CCL23	17	q12	36013056	36017968
AL512353.2	1	p34.2	42886597	42888767
AL669831.1	1	p36.33	725885	778626
FAM87B	1	p36.33	817371	819837
NEFHP1	1	p13.1	116739981	116742609
AP000550.4	22	q11.21	21193360	21203755
RPL35P9	13	q33.3	106425773	106426122
AL162388.1	9	p21.1	29254075	29254426
Z83843.1	X	q13.2	74209976	74213660
AL139400.1	X	q13.2	74066083	74066592
AL390778.1	9	q34.3	135204722	135237597
SIGLEC29P	19	q13.41	51563797	51564910
POM121L7P	22	q11.21	21125660	21128063
DSTYK	1	q32.1	205142505	205211566
TMEM81	1	q32.1	205083129	205084460
AC008556.1	19	q13.11	33906352	33908391
NRL	14	q12	24080107	24115014
AC011298.1	2	q37.3	240686334	240690414
AL109659.3	1	p33	48262230	48263179
LINC02527	6	q21	111900489	111901851
AC139768.1	12	q13.13	51201684	51202581
HRAT92	7	p22.3	520391	525232
AC243742.2	CHR_HSCHR16_1_CTG1		15693630	15695719
AL137129.1	14	q23.2	61734138	61776260
C9orf135	9	q21.12	69820793	69906232
ZNF846	19	p13.2	9751993	9793180
ASS1P5	X	q23	115664895	115666133
ATRAID	2	p23.3	27212027	27217178
KRT38	17	q21.2	41436446	41440921
LINC01908	18	q11.2	27225742	27247188
DDX50	10	q22.1	68901278	68946847
RPS20P10	2	p13.2	71984182	71984434
AC236040.3	CHR_HSCHR22_2_CTG1		42132528	42132983
AC023157.3	12	p11.21	31729117	31731204
RPS18	CHR_HSCHR6_MHC_SSTO_CTG1		33412156	33415676
AF186996.8	CHR_HSCHR3_4_CTG2_1		125756086	125756441
AC091944.1	5	q34	161687347	161689408
SNAPC1	14	q23.2	61762357	61796428
AL118556.2	14	q22.1	50471769	50472592
AC022513.1	12	q15	67753701	67753817
PCDHB7	5	q31.3	141172619	141176383
AL844170.1	1	p22.3	84477039	84479157
AC112778.1	X	p21.3	25194381	25195207
SMC4P1	2	q22.1	136544712	136545542
PCDHB16	5	q31.3	141181399	141186399
EQTN	9	p21.2	27284659	27297139
BPIFB3	20	q11.21	33055424	33073628
PUDPP3	20	q11.21	33047517	33048152
SPRY4	5	q31.3	142310427	142326455
MMP25-AS1	16	p13.3	3037403	3059370
ZNF415P1	18	p11.22	9785108	9787805
CAT	11	p13	34438925	34472062
LINC02450	12	q12	42692216	42717119
BX890604.2	X	p22.33	3817528	3937855
PRDX2P4	6	q16.3	100136064	100136663
AC007370.1	4	p15.33	12947574	12948670
AC005614.2	19	q13.2	40048757	40090925
CHCHD2P8	13	q12.2	28107431	28107877
C17orf113	17	q21.2	42038232	42050614
MRPL42P4	7	p12.3	47026128	47026570
EPS15P1	7	p12.3	46781373	46783443
AC096541.1	1	p33	47818066	47820237
LRCH3	3	q29	197791226	197888436
LINC01738	1	p33	47688463	47703383
DDX41	5	q35.3	177511577	177517469
ITGAE	17	p13.2	3714628	3801243
FOXD2	1	p33	47436017	47440691
TMC8	17	q25.3	78130770	78142968
UBE2V2P2	17	q25.3	78066258	78066761
RPS4XP17	17	p13.3	656794	657547
AC015853.1	17	p13.3	552566	553417
GOLT1A	1	q32.1	204198160	204214092
AC015853.2	17	p13.3	503171	511347
REN	1	q32.1	204154819	204190324
HOXB-AS4	17	q21.32	48628675	48634932
LINC01623	CHR_HSCHR6_MHC_MANN_CTG1		28859590	28863315
LINC01519	10	q23.1	85193421	85197958
BX908720.1	CHR_HSCHR6_MHC_MANN_CTG1		28837838	28838975
SFRP1	8	p11.21	41261958	41309497
IGKV1D-22	2	p11.2	90010741	90011184
GPR62	3	p21.2	51955314	51957504
AC115284.1	3	p21.2	51961212	51974031
IGKV2D-26	2	p11.2	89985922	89986702
IGKV1D-27	2	p11.2	89968867	89969335
PTGR1	9	q31.3	111549722	111599893
NHSL2	X	q13.1	71910818	72161750
AC008443.4	5	q35.3	181191924	181194429
SOX13	1	q32.1	204073115	204127743
AC104002.1	15	q12	27418796	27420735
AC104002.3	15	q12	27483035	27541991
BPIFB6	20	q11.21	33031648	33044047
ADRB2	5	q32	148825245	148828687
AL162311.3	14	q13.2	35819224	35826765
NDFIP1	5	q31.3	142108505	142154443
MTF2	1	p22.1	93079235	93139081
AC008627.1	5	q32	148644687	148646390
PTN	7	q33	137227341	137343865
TEKT1	17	p13.1	6789133	6831761
FAM53B	10	q26.13	124619292	124744269
AC008620.1	5	q35.3	181065086	181065677
FOXO1B	5	q35.3	181099140	181100666
OR5E1P	11	p15.4	7848700	7849626
AC104237.3	11	p15.4	7699562	7699988
HRCT1	9	p13.3	35906192	35907141
NDUFA5P4	9	p13.3	35874810	35875194
ZC3H11A	1	q32.1	203795654	203854999
AC114402.2	1	q32.1	203805621	203806263
FAM69A	1	p22.1	92832737	92961522
MAML3	4	q31.1	139716753	140154184
AC007998.4	18	q12.2	35403996	35406528
RPL15P4	CHR_HSCHR6_MHC_COX_CTG1		31515566	31516145
KPNA1	3	q21.1	122421949	122514945
RNF103	2	p11.2	86603393	86623866
NOP56P1	CHR_HSCHR6_MHC_MANN_CTG1		28783623	28783994
BIVM-ERCC5	13	q33.1	102799110	102875994
PCSK1	5	q15	96390415	96434143
IGKV1D-37	2	p11.2	89884740	89885216
TXNRD2	22	q11.21	19875517	19941992
AL031284.1	1	p36.11	25398721	25399198
STIL	1	p33	47250139	47314147
AC099328.1	3	p14.1	69535664	69536693
AC104123.1	5	q15	95962001	96631085
CBL	11	q23.3	119206276	119313926
AC007216.5	16	p13.13	11926199	11926307
IGKV2-36	2	p11.2	89295233	89295455
TPMTP2	3	p22.1	42145646	42146371
RPL7AP4	14	q22.3	55543401	55544169
CYBA	16	q24.2	88643283	88651152
AC091874.2	5	q35.3	180967848	180968567
DPP4	2	q24.2	161992241	162074542
CIAPIN1P	18	q11.2	26599408	26600338
MUC6	11	p15.5	1012821	1036706
C17orf97	17	p13.3	410327	431062
LINC00501	3	q26.32	177294442	177323418
AC141424.1	17	p13.3	404468	414023
SSU72P8	7	q31.33	124476371	124476955
AL357373.1	1	p32.2	58228682	58229003
KRT19P2	12	q22	94834147	94835158
TMPRSS9	19	p13.3	2360238	2426239
LSM3P2	12	q22	94590821	94591093
NBAT1	6	p22.3	22134957	22147193
C6orf136	CHR_HSCHR6_MHC_COX_CTG1		30636880	30642942
AL445193.2	1	p32.2	58060139	58080274
KYNUP3	17	p11.2	19208584	19211359
AC008750.3	19	q13.41	51340695	51344117
BX324167.2	22	q13.31	45875932	45879247
SNORD3C	17	p11.2	19189665	19190245
AC068722.2	15	q21.1	45702640	45703183
AC025445.1	5	q12.1	63301523	63302056
SPECC1	17	p11.2	20009344	20319026
AC008088.1	17	p11.2	20323058	20323337
LYZL6	17	q12	35934518	35943699
AC005730.1	17	p11.2	20056287	20056630
MIF	22	q11.23	23894004	23895227
CCDC144CP	17	p11.2	20321164	20403557
ATG14	14	q22.3	55366392	55411858
AC008525.2	5	q14.3	88692651	88692859
CLDN12	7	q21.13	90383721	90513402
Z95115.1	22	q12.1	26512537	26514568
TNPO1P1	10	q23.1	84390908	84392045
AP003550.1	8	q22.3	103020187	103021428
AC106871.1	4	q31.21	144505900	144509001
LILRP1	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1		54700593	54700905
AC245128.4	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1		54703952	54704235
POM121L6P	6	p22.2	26896952	26898777
IGFBP3	7	p12.3	45912245	45921874
AC063977.4	19	q13.41	51194118	51195540
AC099336.2	1	q32.1	202471864	202472117
RRP9	3	p21.2	51933430	51941941
AL352955.1	14	q31.3	87251103	87251679
AC104463.2	1	q32.1	202604268	202605293
AL358292.1	14	q31.3	86936640	86989125
CRHBP	5	q13.3	76952713	76981158
PTGER4	5	p13.1	40679498	40693735
KIR2DL3	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1		54738461	54752744
KRT18P41	5	q35.1	170140664	170141940
AC087373.1	11	p14.3	25140533	25141023
AP4B1-AS1	1	p13.2	113856635	113901237
POLR1D	13	q12.2	27620742	27744237
AC068473.3	18	q23	79576460	79589010
HLA-T	CHR_HSCHR6_MHC_QBL_CTG1		29887829	29888960
AC079148.1	2	p24.2	18547386	18548204
PPP1R11P2	X	p11.21	57229034	57229415
MTCYBP44	4	q21.22	81733385	81734207
AC115990.1	11	p14.3	24701275	24701575
FBXL19-AS1	16	p11.2	30919319	30923269
HOXB3	17	q21.32	48548870	48604912
PGAP2	11	p15.4	3797724	3826371
AL035071.1	20	q11.21	32856621	32858751
IFT22	7	q22.1	101313367	101321823
WDR59	16	q23.1	74871367	75000173
AL355483.4	1	p32.3	53267935	53268601
NCAPG2	7	q36.3	158631311	158704829
HTR2C	X	q23	114584078	114910061
AC006499.8	4	p16.1	10238213	10238235
PGBD4P5	2	p11.2	88922328	88922753
LINC02301	14	q31.1	82642620	82706825
AL355838.1	14	q31.1	81741002	82030349
PRR13P7	8	q21.3	91909738	91910167
PPP1R12BP1	Y	q11.23	26277923	26354418
AL590004.2	6	p25.2	3913922	3914292
KRT18P19	2	q32.2	189311263	189311967
AC008526.1	5	q14.3	88602780	88603117
GRIN2A	16	p13.2	9753404	10182754
AC005909.1	18	q22.1	68427030	68436918
AC022968.1	18	q22.1	68277802	68278243
SCTR	2	q14.2	119439843	119525301
AL049844.2	6	q24.2	143858062	143858689
DISP2	15	q15.1	40358235	40378639
AL513217.1	1	q32.1	201893842	201899978
UBE2NL	X	q27.3	143884071	143885255
AP000904.1	11	q24.3	128096042	128183554
IGKV4-1	2	p11.2	88885397	88886153
USP9YP20	Y	q11.23	25923388	25929826
OPTN	10	p13	13099449	13138308
LINC02397	12	q22	92466451	92492091
KIT	4	q12	54657918	54740715
KCNC1	11	p15.1	17734774	17856804
HIST1H4C	6	p22.2	26103876	26104310
GYG2	X	p22.33	2828788	2882820
HOXC6	12	q13.13	53990624	54030823
GNRHR2P1	14	q23.1	60398934	60400013
DELE1	5	q31.3	141923808	141942047
INSIG1	7	q36.3	155297776	155310235
SERGEF	11	p15.1	17788048	18013162
MICG	CHR_HSCHR6_MHC_QBL_CTG1		29809741	29809872
DYNLL1P2	14	q31.1	81412970	81413239
ATM	11	q22.3	108222484	108369102
ST13P20	1	p31.1	81721693	81723068
AC115618.2	X	p11.23	48579774	48581157
AC115618.1	X	p11.23	48568014	48574860
ENPP4	6	p21.1	46129993	46146699
AC131280.1	15	q11.2	20658900	20664970
NBEAP1	15	q11.2	20657638	20688408
LINC02069	3	q27.1	184756389	184773155
ABCB5	7	p21.1	20615207	20777038
AC107294.1	3	q27.1	184742818	184743284
ITGBL1	13	q33.1	101452593	101720856
TRAF3IP2	6	q21	111556454	111606278
U91328.2	6	p22.2	25983812	25999167
MRPL35	2	p11.2	86199355	86213794
AL391117.1	9	p21.3	22703516	23438700
LINC01239	9	p21.3	22646200	22824213
AC010969.2	2	p25.1	9936360	9939590
MTND2P39	X	q27.3	143434517	143435280
RPL31P45	10	p12.31	22266991	22267346
EBLN1	10	p12.31	22208814	22210021
AC087190.3	16	p13.2	9104848	9113181
AL157831.1	10	p12.31	22163092	22164306
C16orf72	16	p13.2	9091648	9121640
DOK6	18	q22.2	69401055	69849087
SECISBP2	9	q22.2	89318506	89359662
KCNK17	6	p21.2	39299001	39314553
HLA-V	CHR_HSCHR6_MHC_QBL_CTG1		29788252	29794972
ATXN7	3	p14.1	63864557	64003462
HLA-J	CHR_HSCHR6_MHC_SSTO_CTG1		29995855	29999228
BX005091.2	CHR_HSCHR6_MHC_SSTO_CTG1		29995393	29996388
TPD52L1	6	q22.31	125119049	125264407
ETF1P1	CHR_HSCHR6_MHC_SSTO_CTG1		30022074	30023364
RPL23AP17	1	p34.2	41098638	41099136
AC025518.1	17	p13.1	8561230	8561576
ANKRD36BP2	2	p11.2	88765807	88806612
AC011453.1	19	q13.42	53761961	53764199
AC011453.2	19	q13.42	53657400	53658462
REV3L	6	q21	111299028	111483715
AC084851.3	11	p11.12	49067610	49069301
AC009229.1	2	p22.2	38203363	38239590
ALKBH5	17	p11.2	18183078	18209954
ADGRL2	1	p31.1	81306160	81992436
TMEM9	1	q32.1	201134772	201171574
VSX2	14	q24.3	74239472	74262738
ASCL5	1	q32.1	201113953	201127184
RAB9AP2	Y	q11.23	25709908	25713557
AC243547.1	1	q21.1	145892847	145893483
AP001610.1	21	q22.3	41441056	41445708
AC025174.1	5	p15.31	7924292	7925398
KBTBD11-OT1	8	p23.3	1971397	1976478
AC019257.2	8	p23.3	1974818	1975314
AC078942.1	7	q36.3	158537495	158539879
AC008972.1	5	q13.2	72953635	72954274
SPANXA2-OT1	X	q27.2	141502849	141649927
SYNPR	3	p14.2	63228315	63616921
LTB	CHR_HSCHR6_MHC_MCF_CTG1		31656860	31658827
SPANXA2	X	q27.2	141589435	141590772
OFD1P13Y	Y	q11.23	25675060	25697346
PKD2L1	10	q24.31	100288154	100330486
AL445686.1	1	p36.11	24563627	24563974
PDCD6IP	3	p22.3	33798352	33869707
CTSW	11	q13.1	65879809	65883741
RNMTL1P2	7	p21.1	17962079	17963029
LILRP1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1		54700593	54700905
AC138057.1	3	p14.2	59380024	59388704
AC002470.1	22	q11.21	20981361	20981755
OR10C1	CHR_HSCHR6_MHC_SSTO_CTG1		29439782	29441453
CKS1BP3	5	q12.1	62512246	62512482
AC114982.2	5	q12.1	62561859	62562216
SLC25A25	9	q34.11	128068201	128109245
KIR3DL3	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1		54724454	54736547
EIF3L	22	q13.1	37848868	37889407
DDX6P1	CHR_HSCHR6_MHC_SSTO_CTG1		29330530	29331965
AC134312.1	16	q24.2	88088041	88100985
CDY19P	Y	q11.23	25564122	25566033
BX005432.1	CHR_HSCHR6_MHC_SSTO_CTG1		29291595	29292537
AC107021.2	3	q24	146059585	146061679
AC011483.3	19	q13.41	50962197	50962781
SFMBT2	10	p14	7158624	7411486
LARP7P4	3	q24	145523538	145524415
AL049836.1	14	q32.31	101628984	101632530
PSMG4	6	p25.2	3231403	3303373
PHF20L1	8	q24.22	132775358	132848807
PKMYT1	16	p13.3	2968024	2980539
EFCAB14-AS1	1	p33	46674036	46692098
PIP4P2	8	q21.3	90993796	91041064
MDC1-AS1	CHR_HSCHR6_MHC_DBB_CTG1		30693326	30703442
AC013244.2	12	q13.12	50806335	50806437
AC010196.1	12	q21.32	86599578	86838998
ABCG4	11	q23.3	119149012	119162653
AC099335.1	1	q32.1	199387141	199388475
GPR137	11	q13.1	64270062	64289500
PCNAP3	X	p11.3	46058751	46059528
AL031584.2	X	p11.3	45913267	45917040
FRG1-DT	4	q35.2	189780336	189940271
AL392046.1	10	p11.21	35098006	35127020
ADAD1P2	18	q21.1	50063795	50064440
NCR3	CHR_HSCHR6_MHC_MANN_CTG1		31628343	31632433
AC090679.2	12	q21.31	84147304	84154338
AC090679.1	12	q21.31	84154434	84294562
CR388220.3	CHR_HSCHR6_MHC_DBB_CTG1		29849566	29849694
ETF1P1	CHR_HSCHR6_MHC_DBB_CTG1		30022006	30023296
INHA	2	q35	219569162	219575713
ATP6V1G3	1	q31.3	198523222	198540945
AC091588.3	18	q11.2	22200619	22205229
GATA6	18	q11.2	22169443	22202528
AC091588.1	18	q11.2	22175465	22176662
AC091806.1	X	p11.4	40262917	40287720
SLC17A8	12	q23.1	100357079	100422059
GDF1	19	p13.11	18868545	18896096
SLC6A1-AS1	3	p25.3	11006098	11019224
AC239860.1	1	q21.1	145509047	145520594
FOXI3	2	p11.2	88446787	88452656
MALSU1	7	p15.3	23298739	23311729
PCARE	2	p23.2	29060976	29074261
SLC14A2	18	q12.3	45212995	45683686
SCYL2	12	q23.1	100267140	100341724
HELZ2	20	q13.33	63558086	63574239
KIRREL3-AS2	11	q24.2	126940746	126945090
TRDN	6	q22.31	123216339	123637093
ESR1	6	q25.1	151656691	152129619
SPIN1	9	q22.1	88388419	88478694
FXNP1	14	q24.3	78059942	78060278
LINC01392	7	q31.2	115061537	115231355
AP005019.2	11	q13.4	72562044	72562554
METTL23	17	q25.1	76726830	76733936
CWF19L1	10	q24.31	100232298	100267680
GPX7	1	p32.3	52602372	52609051
TRIM16	17	p12	15627960	15684311
KCTD9P2	X	q22.3	105405647	105407039
LTF	3	p21.31	46435645	46485234
CDRT1	17	p12	15565483	15619512
RPL21P75	7	p21.1	20002765	20003247
AC093154.1	1	p31.1	81209834	81222076
AC106791.1	5	q31.2	137814333	137889336
AC089998.2	12	q21.31	82505211	82506188
OXTR	3	p25.3	8750408	8769628
FAM32CP	10	q22.2	74744386	74744707
RPP38	10	p13	15097180	15139818
KCND3-AS1	1	p13.2	111909336	111910931
FAM19A4	3	p14.1	68731766	68953297
TUBB2A	6	p25.2	3153669	3157526
P3H2-AS1	3	q28	190120964	190144846
CFHR5	1	q31.3	196977556	197009674
C10orf111	10	p13	15095385	15097319
TREML4	6	p21.1	41228324	41238882
TRIM27	CHR_HSCHR6_MHC_SSTO_CTG1		28903869	28924846
ESX1	X	q22.2	104250038	104254933
TRIM31-AS1	CHR_HSCHR6_MHC_MANN_CTG1		30100364	30109841
ACOX1	17	q25.1	75941507	75979363
AC068152.1	17	q21.32	46984045	47100323
FRMPD4	X	p22.2	12138466	12724523
CASC11	8	q24.21	127686343	127733967
SLC2A3P1	5	q34	168552277	168553727
AC005670.2	17	q21.32	46923133	47049932
PANK3	5	q34	168548495	168579600
GID8	20	q13.33	62938119	62948475
AL354751.3	9	q22.31	92104425	92105451
SETD6P1	2	q12.3	108226015	108226331
AC092017.2	1	q32.2	211173488	211173849
RAD51	15	q15.1	40694774	40732339
AL691403.2	14	q24.3	75176929	75177418
ATP9B	CHR_HSCHR18_2_CTG2_1		79074837	79074964
AC013476.1	2	q36.1	222917387	222919363
AC010451.3	5	p15.32	4967764	4970425
AC016772.1	2	q31.1	169658132	169661357
YIPF5	5	q31.3	144158159	144170714
AOX3P-AOX2P	2	q33.1	200695723	200748040
AC237191.1	CHR_HSCHR2_1_CTG15		242003691	242006013
Z75741.1	X	q25	127796124	127796733
TAS2R9	12	p13.2	10809094	10810168
OR2AP1	12	q13.2	55572468	55575612
Z69908.1	X	q25	126502867	126503155
NDUFA5P5	3	p11.1	88601061	88601402
YARS	1	p35.1	32775237	32818153
LINC02388	12	q14.1	58565959	58781747
AL121768.1	14	q31.3	88819608	88822151
RAB11FIP4	17	q11.2	31391624	31538217
IRX2	5	p15.33	2745845	2751662
OR6C3	12	q13.2	55330043	55332687
AC091891.1	5	p15.33	2736662	2737759
EEF1DP5	6	q22.33	128580113	128580884
AC011468.3	19	q13.41	52142626	52144156
WAS	X	p11.23	48676596	48691427
TUBA1A	12	q13.12	49184796	49189324
ANKRD36B	2	q11.2	97492663	97589965
AC131025.1	5	q32	149372174	149375116
ZBTB47	3	p22.1	42653684	42665854
RPL21P103	12	q14.1	58244378	58244865
AC066612.1	15	q21.1	48189037	48191691
LINC02403	12	q14.1	58087892	58093362
MTND5P41	8	p12	36279491	36279696
GOT2P3	12	p13.31	9641723	9643011
ZNF529-AS1	19	q13.12	36573070	36594708
F3	1	p21.3	94529225	94541800
AC092295.1	19	q13.12	36528318	36535235
AC139494.1	CHR_HSCHR5_2_CTG1_1		69755077	69848798
ZNF529	19	q13.12	36534774	36605276
ZNF585A	19	q13.12	37106734	37172741
AC003975.1	7	q31.33	125917871	125933832
C4BPAP2	1	q32.2	207225798	207229202
CALCOCO2	17	q21.32	48830988	48866522
HTR1F	3	p11.1	87990696	87993835
PRR19	19	q13.2	42302098	42310821
MTND6P10	2	q21.1	131369785	131370301
AC008745.1	19	q13.33	47794650	47794920
AC095057.3	4	p14	40166675	40167831
AC012065.3	2	p24.1	20586248	20586686
OSTN-AS1	3	q28	191213291	191234605
XYLT1	16	p12.3	17101769	17470881
EBNA1BP2	1	p34.2	43164175	43270936
CLOCK	4	q12	55427903	55547138
AC099494.2	16	p12.3	17227023	17228000
C4BPB	1	q32.1	207088842	207099993
TSFM	12	q14.1	57782589	57808071
RBMX2P3	1	p12	119084998	119085954
SAR1A	10	q22.1	70147289	70170523
MCOLN2	1	p22.3	84925583	84997113
AC245052.5	19	q13.42	54268005	54269045
AL139353.3	14	q12	31320224	31320634
CUBN	10	p13	16823966	17129817
POU1F1	3	p11.2	87259404	87276587
CIR1P2	4	q26	114713579	114714920
HIST1H4L	6	p22.1	27873199	27873510
AL662797.1	6	p21.33	30723105	30723877
HIST1H1B	6	p22.1	27866849	27867529
PDE1B	12	q13.2	54549350	54579239
CCL3L3	CHR_HSCHR17_7_CTG4		36195241	36197130
DEFB124	20	q11.21	31465506	31476757
KRT18P64	6	q14.3	85287789	85289007
AC024610.2	17	q12	33827728	34079100
AL139806.1	6	q14.3	85155667	85167749
AL356967.1	6	q16.3	104687241	104687671
EFHD1	2	q37.1	232606057	232682781
TAF7L	X	q22.1	101268253	101293057
PIGR	1	q32.1	206928518	206946466
AC098935.1	1	q32.1	206907619	206908229
AC104667.1	2	q37.3	237612977	237626525
CFAP54	12	q23.1	96489571	96875555
RBAK-RBAKDN	7	p22.1	4983718	5073221
AOC4P	17	q21.31	42865922	42874369
RNF122	8	p12	33547755	33567125
TMEM117	12	q12	43835967	44389762
ZNF75BP	12	q12	44008620	44010143
NR0B1	X	p21.2	30304206	30309598
AC067904.2	8	p21.2	27063996	27065278
AC004771.5	17	p13.2	4986466	4987324
AL591846.1	1	q32.1	206695837	206696269
NETO1	18	q22.3	72742314	72868146
AL021918.4	6	p22.1	27454568	27457575
MTND3P21	1	p22.1	93924386	93924716
AL590867.2	6	q25.2	153282287	153282733
AL591846.2	1	q32.1	206634649	206635622
DDX11L2	2	q14.1	113599036	113601261
ZACNP1	4	q25	108415220	108416639
GCLM	1	p22.1	93885205	93909456
KRT8P46	4	q24	102728746	102730171
AF213884.1	4	q24	102662611	102663073
TENT5C	1	p12	117605934	117628372
AC021220.1	4	q12	55219344	55219973
SRPK2	7	q22.3	105110704	105399308
BSCL2	11	q12.3	62690275	62709845
HIST1H2BG	6	p22.2	26215159	26216692
HIST1H4E	6	p22.2	26204552	26206038
AC008781.3	5	q31.3	141468465	141471528
BX119904.1	X	q23	116748530	116748877
MTATP6P26	2	q14.2	120211054	120211715
USP43	17	p13.1	9644698	9729691
AC022511.1	12	q15	68344664	68349959
AC118755.2	17	p13.1	9638768	9645325
LINC01004	7	q22.3	104950315	105013044
CT83	X	q23	116461682	116463003
AC007384.1	7	q22.3	104941063	104962334
AC005618.2	5	q31.3	141427295	141427752
PCDHGA5	5	q31.3	141364232	141512979
OR4F16	1	p36.33	685679	686673
LINC01249	2	p25.2	4628222	4656215
AC025271.4	15	q21.3	57553955	57555680
PTGFRN	1	p13.1	116910057	116990358
SYT16	14	q23.2	61811974	62112550
AL136376.1	1	p13.1	116429049	116433368
PLIN1	15	q26.1	89664365	89679427
ATP1A1-AS1	1	p13.1	116392247	116418622
LINC00343	13	q33.2	105704280	105764440
NCAPG	4	p15.31	17810902	17844862
LINC01541	18	q22.3	71519962	71578956
PYY3	X	p11.22	50156159	50156371
RPS12P27	16	q22.1	68209442	68209778
AC091691.2	18	q22.3	71216704	71237102
SENP6	6	q14.1	75601509	75718278
MAB21L3	1	p13.1	116111755	116135240
GCLC	6	p12.1	53497341	53616970
RPS20P33	14	q32.33	105374618	105374971
RPL12P32	12	p11.21	31948334	31948827
EIF2S2P2	3	q27.2	185245460	185246441
EHHADH-AS1	3	q27.2	185162871	185191955
DCAF16	4	p15.31	17800655	17810758
SMC5-AS1	9	q21.12	70193997	70258866
DDTL	22	q11.23	23966901	23972532
AL096711.2	6	q22.33	127438406	127519001
NIPA2P1	7	q21.13	91320128	91321103
CD2AP	6	p12.3	47477789	47627263
AC005297.3	X	p21.3	26223903	26224658
AC027601.4	17	q25.3	81251194	81251803
RIPPLY2	6	q14.2	83853266	83857515
FRG1BP	20	q11.1	30377372	30399257
AC079779.4	2	p25.3	307683	309424
CFAP74	1	p36.33	1921951	2003837
AL365503.1	6	q12	67456346	67457250
FCN1	9	q34.3	134905890	134917963
NUFIP1P	6	q12	66093431	66094909
MDC1-AS1	CHR_HSCHR6_MHC_SSTO_CTG1		30695318	30705434
PLSCR5-AS1	3	q24	146589602	146590325
AC027277.2	16	p13.13	10576499	10578183
MCM10	10	p13	13161554	13211104
AC092192.1	19	p13.3	176896	177913
CBX3P5	12	q22	95286318	95286838
CYP26B1	2	p13.2	72129238	72148038
AC092451.1	12	p12.1	25409293	25409445
AL109917.1	1	p36.33	1891471	1892658
ASNSD1	2	q32.2	189661385	189670831
AC087239.1	12	p12.1	25385670	25386241
AL928654.4	14	q32.33	105370418	105372918
ACCSL	11	p11.2	44047981	44059977
AC008759.2	19	p13.2	9730853	9731943
AMN1	12	p11.21	31671137	31729174
ZNF70P1	CHR_HSCHR6_MHC_SSTO_CTG1		33355816	33356439
RNASEK	17	p13.1	7012417	7014532
OR4G1P	19	p13.3	99175	106077
AC244517.2	5	q31.3	141100242	141174391
AC244517.4	5	q31.3	141183401	141201396
SPRY4-AS1	5	q31.3	142325293	142672001
AC023669.1	7	p12.3	46261064	46294469
AC116914.2	17	p13.2	3721628	3722488
AC116914.1	17	p13.2	3729361	3730493
AL356458.1	1	p33	47483698	47484162
PRKX-AS1	X	p22.33	3659487	3668192
MTSS1	8	q24.13	124550790	124728429
RPL13P	CHR_HSCHR6_MHC_MANN_CTG1		28861381	28862012
IGKV2D-19	2	p11.2	90046796	90047057
